"semestre","carrera","promedio","edad","peso","estatura","genero"
3,"GESTION",83.18,20,75,175,"F"
8,"GESTION",89.51,18,60,186,"M"
3,"GESTION",86.18,21,76,179,"F"
3,"GESTION",94.93,24,73,186,"M"
9,"GESTION",89.87,20,75,172,"F"
2,"GESTION",93.17,18,72,175,"F"
5,"GESTION",86.17,23,67,169,"M"
9,"GESTION",85.6,21,89,177,"M"
6,"GESTION",81.5,22,77,163,"F"
4,"GESTION",89.17,22,79,181,"M"
5,"GESTION",86.52,20,77,179,"M"
7,"GESTION",90.29,19,61,185,"M"
7,"GESTION",80.33,18,85,163,"M"
2,"GESTION",98.5,22,70,185,"F"
9,"GESTION",89.36,25,74,166,"F"
5,"GESTION",86.29,21,78,186,"M"
9,"GESTION",87.11,18,78,152,"F"
8,"GESTION",90.67,19,79,177,"F"
7,"GESTION",86.62,23,89,171,"M"
4,"GESTION",94,18,67,158,"F"
7,"GESTION",85.5,22,64,159,"M"
2,"GESTION",71.33,21,76,200,"M"
6,"GESTION",84,21,81,175,"M"
7,"GESTION",88.47,22,62,186,"M"
8,"GESTION",85.98,22,85,161,"M"
9,"GESTION",88.57,19,75,176,"M"
7,"GESTION",81.53,22,87,169,"F"
5,"GESTION",82.64,25,73,187,"F"
8,"GESTION",82.09,20,70,169,"M"
6,"GESTION",88.63,21,68,180,"M"
4,"GESTION",93.72,20,87,189,"F"
6,"GESTION",87,22,64,181,"M"
9,"GESTION",87.65,18,70,172,"F"
6,"GESTION",92.81,22,83,184,"F"
6,"GESTION",92.37,24,83,182,"M"
2,"GESTION",87.67,20,84,183,"M"
8,"GESTION",92.82,27,72,171,"M"
3,"GESTION",86.89,23,82,170,"M"
7,"GESTION",90.37,22,80,164,"M"
8,"GESTION",85.14,21,87,189,"F"
6,"GESTION",94.76,23,70,174,"F"
2,"GESTION",89.17,22,84,168,"F"
2,"GESTION",97.33,18,93,162,"M"
9,"GESTION",90.96,24,92,183,"F"
6,"GESTION",82.32,21,79,174,"M"
7,"GESTION",84.89,20,85,200,"M"
6,"GESTION",86.86,19,61,167,"F"
8,"GESTION",86.53,21,78,160,"M"
6,"GESTION",88.73,23,77,177,"F"
4,"GESTION",89.33,23,86,177,"M"
8,"GESTION",91.2,19,74,169,"F"
5,"GESTION",88.05,24,79,170,"F"
5,"GESTION",89.76,20,76,177,"M"
6,"GESTION",92.06,23,63,176,"F"
7,"GESTION",88.13,18,81,162,"M"
9,"GESTION",92.23,19,89,177,"M"
4,"GESTION",94.33,23,74,180,"M"
4,"GESTION",85.29,21,78,183,"M"
4,"GESTION",92.83,19,56,170,"F"
2,"GESTION",84.33,18,85,176,"F"
6,"GESTION",88.23,24,84,183,"M"
6,"GESTION",88.32,21,66,170,"F"
7,"GESTION",87.27,19,65,181,"M"
6,"GESTION",88.57,24,94,168,"M"
9,"GESTION",87.85,23,77,169,"M"
4,"GESTION",88.72,23,71,169,"M"
5,"GESTION",92.27,20,85,182,"M"
7,"GESTION",82.96,23,73,183,"M"
9,"GESTION",82.35,21,79,170,"F"
2,"GESTION",97.5,22,48,165,"F"
5,"GESTION",92,27,79,185,"M"
2,"GESTION",91.4,24,80,167,"M"
9,"GESTION",87.34,21,68,169,"F"
7,"GESTION",83,21,79,186,"F"
4,"GESTION",90.06,23,60,163,"M"
7,"GESTION",93.42,21,72,168,"F"
3,"GESTION",95.58,23,79,176,"M"
3,"GESTION",82,21,93,174,"M"
9,"GESTION",82.46,22,82,179,"F"
3,"GESTION",88.75,23,74,183,"M"
3,"GESTION",88.17,20,85,176,"M"
4,"GESTION",93.5,21,68,185,"F"
9,"GESTION",84.52,20,60,181,"M"
4,"GESTION",90.94,22,62,162,"M"
6,"GESTION",84.88,22,81,177,"F"
4,"GESTION",84.92,23,87,176,"F"
7,"GESTION",88.43,18,69,169,"F"
4,"GESTION",91.28,21,78,168,"M"
8,"GESTION",88.13,23,82,182,"M"
3,"GESTION",91.1,22,60,173,"M"
9,"GESTION",88.02,22,76,181,"F"
7,"GESTION",87.66,21,68,168,"F"
4,"GESTION",85.94,22,74,155,"M"
3,"GESTION",83.23,21,76,183,"F"
8,"GESTION",95.86,19,85,180,"M"
6,"GESTION",86.94,23,73,178,"M"
9,"GESTION",86.26,22,59,168,"F"
5,"GESTION",89.78,19,65,173,"M"
2,"GESTION",93.83,21,69,167,"M"
4,"GESTION",84.8,26,81,183,"M"
9,"GESTION",80.82,21,56,170,"M"
6,"GESTION",91.9,24,68,179,"F"
5,"GESTION",80.43,23,57,168,"F"
3,"GESTION",88.67,20,74,166,"M"
3,"GESTION",86.23,20,67,164,"F"
9,"GESTION",86.46,21,69,175,"F"
7,"GESTION",86.86,23,67,181,"M"
6,"GESTION",90.5,21,78,173,"F"
9,"GESTION",91.13,25,84,167,"F"
9,"GESTION",82.43,18,88,164,"F"
4,"GESTION",92.11,22,82,185,"F"
7,"GESTION",83.69,19,79,156,"F"
7,"GESTION",85.45,18,71,183,"F"
6,"GESTION",90.47,21,84,186,"F"
6,"GESTION",88.53,20,82,166,"M"
9,"GESTION",92.92,20,92,178,"F"
9,"GESTION",90.22,19,91,155,"F"
8,"GESTION",90.62,24,81,171,"F"
9,"GESTION",85.57,22,75,186,"M"
4,"GESTION",93.17,21,80,172,"F"
9,"GESTION",85.98,20,74,175,"F"
5,"GESTION",86.13,22,78,172,"F"
8,"GESTION",87.81,21,77,150,"F"
5,"GESTION",81.88,19,82,174,"F"
4,"GESTION",85.07,24,59,184,"F"
7,"GESTION",88.91,22,91,173,"F"
6,"GESTION",90.5,21,92,190,"M"
2,"GESTION",82.4,17,59,163,"F"
7,"GESTION",90.3,20,76,164,"M"
2,"GESTION",86,22,74,178,"F"
3,"GESTION",93.67,20,54,187,"F"
9,"GESTION",85.7,19,64,154,"M"
6,"GESTION",94,22,71,171,"M"
7,"GESTION",90.53,21,60,175,"F"
4,"GESTION",87.88,20,67,164,"M"
8,"GESTION",87.61,24,67,174,"M"
5,"GESTION",82.55,18,80,165,"M"
8,"GESTION",86.55,21,55,166,"M"
2,"GESTION",87.67,19,83,171,"M"
7,"GESTION",86.5,22,75,170,"M"
4,"GESTION",88.71,24,68,169,"M"
3,"GESTION",93,22,80,163,"M"
4,"GESTION",89.5,23,84,178,"F"
2,"GESTION",94,23,81,170,"F"
5,"GESTION",91.84,21,69,180,"M"
2,"GESTION",97.5,24,66,171,"F"
2,"GESTION",90.67,22,84,173,"M"
9,"GESTION",94.35,23,67,154,"F"
7,"GESTION",85.89,20,67,173,"F"
3,"GESTION",91.33,20,65,185,"F"
6,"GESTION",85.53,19,78,168,"F"
4,"GESTION",88.65,20,61,189,"F"
3,"GESTION",85.6,23,66,167,"F"
9,"GESTION",87.16,24,49,172,"M"
7,"GESTION",84.42,20,71,191,"M"
6,"GESTION",88.94,26,77,188,"F"
7,"GESTION",89.24,16,74,162,"F"
8,"GESTION",91.26,18,67,171,"M"
9,"GESTION",92.04,21,76,179,"F"
4,"GESTION",91.81,21,64,179,"F"
3,"GESTION",95.58,16,73,178,"M"
8,"GESTION",89.9,19,76,154,"F"
7,"GESTION",88.89,22,71,171,"F"
2,"GESTION",88.33,21,73,174,"F"
9,"GESTION",87.25,23,69,194,"F"
4,"GESTION",85.31,22,85,176,"F"
6,"GESTION",91.09,21,70,171,"M"
7,"GESTION",89.31,20,68,187,"F"
7,"GESTION",87.25,20,49,184,"M"
9,"GESTION",82.25,20,81,168,"M"
7,"GESTION",87.08,20,69,174,"F"
7,"GESTION",88.28,21,74,173,"F"
9,"GESTION",88.59,21,86,172,"F"
9,"GESTION",85.4,21,71,181,"M"
2,"GESTION",87.67,21,94,164,"M"
2,"GESTION",86.67,22,85,180,"F"
2,"GESTION",90.17,22,85,176,"F"
9,"GESTION",87.57,24,71,177,"F"
8,"GESTION",85.11,21,77,191,"M"
7,"GESTION",83.75,26,69,172,"M"
8,"GESTION",88.19,25,61,181,"F"
2,"GESTION",96.5,20,69,192,"F"
6,"GESTION",92.39,21,77,174,"M"
9,"GESTION",88.67,20,59,161,"M"
2,"GESTION",92.83,20,91,158,"F"
2,"GESTION",87.5,22,77,183,"M"
7,"GESTION",90.82,21,79,190,"F"
2,"GESTION",95.67,21,86,185,"F"
6,"GESTION",87.55,20,71,161,"M"
2,"GESTION",92.5,19,61,172,"F"
2,"GESTION",95.33,24,58,179,"F"
2,"GESTION",75,22,66,161,"M"
2,"GESTION",86.33,22,64,180,"M"
6,"GESTION",87.41,19,73,174,"M"
5,"GESTION",90.09,23,75,172,"F"
5,"GESTION",89.58,22,89,191,"M"
6,"GESTION",80.64,15,68,175,"F"
7,"GESTION",84,23,70,154,"M"
6,"GESTION",90.9,21,74,164,"F"
3,"GESTION",89.1,22,72,179,"M"
4,"GESTION",93.06,19,89,186,"F"
4,"GESTION",85.93,21,74,183,"F"
8,"GESTION",88.33,19,75,185,"F"
2,"GESTION",91,19,67,169,"M"
6,"GESTION",93.3,15,74,178,"F"
4,"GESTION",88.11,18,83,187,"F"
2,"GESTION",77.5,22,66,199,"F"
4,"GESTION",87.94,20,66,173,"M"
8,"GESTION",83.94,16,78,176,"F"
8,"GESTION",86.61,19,72,172,"M"
8,"GESTION",89.76,23,70,182,"M"
4,"GESTION",83.36,20,74,172,"F"
9,"GESTION",90.69,17,79,174,"M"
9,"GESTION",83.95,22,64,167,"M"
6,"GESTION",90.3,20,89,172,"M"
4,"GESTION",82.91,23,76,165,"F"
6,"GESTION",87.54,16,70,164,"F"
6,"GESTION",79.95,19,85,178,"M"
4,"GESTION",85.19,20,66,183,"M"
5,"GESTION",88.27,23,81,194,"M"
4,"GESTION",95.83,21,63,176,"M"
7,"GESTION",85.93,22,69,174,"M"
2,"GESTION",88,22,75,165,"F"
3,"GESTION",90.1,20,77,188,"M"
3,"GESTION",90.5,19,70,171,"M"
11,"QUIMICA",82.65,22,94,179,"M"
4,"QUIMICA",92.78,19,67,183,"F"
6,"QUIMICA",82.5,22,68,174,"F"
10,"QUIMICA",87.83,22,63,173,"F"
2,"QUIMICA",87.33,19,71,182,"M"
4,"QUIMICA",85.35,25,57,193,"F"
4,"QUIMICA",88.83,21,73,175,"F"
7,"QUIMICA",84.93,25,84,168,"M"
10,"QUIMICA",79.44,22,97,170,"M"
4,"QUIMICA",90.33,20,81,164,"M"
2,"QUIMICA",92.83,19,63,179,"F"
9,"QUIMICA",83.34,19,66,169,"M"
6,"QUIMICA",84.92,22,76,181,"F"
2,"QUIMICA",95.5,22,81,178,"F"
10,"QUIMICA",91.54,19,75,184,"F"
9,"QUIMICA",83.1,21,52,182,"F"
9,"QUIMICA",81.21,24,88,173,"F"
8,"QUIMICA",90.13,21,70,175,"M"
6,"QUIMICA",82,21,72,165,"M"
10,"QUIMICA",83.66,24,60,169,"M"
3,"QUIMICA",79.45,23,70,169,"F"
4,"QUIMICA",88.56,18,90,151,"F"
10,"QUIMICA",84.17,21,73,185,"M"
4,"QUIMICA",92.11,19,63,160,"M"
2,"QUIMICA",96,18,72,159,"M"
3,"QUIMICA",93.42,21,73,177,"M"
5,"QUIMICA",79.91,23,65,168,"F"
10,"QUIMICA",83.91,22,91,182,"F"
8,"QUIMICA",92.21,21,93,197,"F"
12,"QUIMICA",81.9,21,80,169,"F"
7,"QUIMICA",87.24,20,76,157,"M"
9,"QUIMICA",85.84,18,75,176,"F"
3,"QUIMICA",88.75,24,78,176,"F"
9,"QUIMICA",83.95,22,82,170,"M"
12,"QUIMICA",79.41,21,81,193,"M"
8,"QUIMICA",85.28,23,76,167,"F"
8,"QUIMICA",87.85,19,95,168,"F"
11,"QUIMICA",85.85,20,75,191,"M"
4,"QUIMICA",90.17,23,69,189,"F"
10,"QUIMICA",86.22,19,87,189,"F"
9,"QUIMICA",81.06,19,70,167,"F"
5,"QUIMICA",80.5,22,98,194,"M"
10,"QUIMICA",81.4,17,73,174,"F"
4,"QUIMICA",83.78,19,69,166,"M"
9,"QUIMICA",83.56,18,80,181,"F"
8,"QUIMICA",86.97,20,49,187,"F"
6,"QUIMICA",86.28,20,86,185,"F"
3,"QUIMICA",94,20,81,188,"M"
6,"QUIMICA",85.45,24,77,174,"F"
4,"QUIMICA",92.56,19,71,181,"F"
5,"QUIMICA",77.29,21,73,184,"F"
8,"QUIMICA",84.1,19,87,176,"M"
3,"QUIMICA",88.92,19,63,170,"F"
2,"QUIMICA",85.5,21,91,190,"F"
7,"QUIMICA",83.52,19,66,198,"F"
2,"QUIMICA",86.75,21,87,185,"F"
2,"QUIMICA",88.67,20,82,191,"F"
7,"QUIMICA",83.79,21,64,179,"F"
8,"QUIMICA",86.76,18,75,165,"F"
4,"QUIMICA",90.78,22,83,195,"F"
5,"QUIMICA",81.09,20,62,185,"F"
5,"QUIMICA",82.42,22,86,176,"M"
9,"QUIMICA",80.82,23,79,161,"M"
4,"QUIMICA",91.94,20,71,158,"M"
2,"QUIMICA",94.5,23,68,160,"F"
5,"QUIMICA",77.91,22,97,171,"F"
9,"QUIMICA",85.74,20,74,194,"F"
4,"QUIMICA",93.39,20,66,170,"M"
11,"QUIMICA",80.62,21,82,159,"M"
2,"QUIMICA",97.17,16,91,174,"F"
3,"QUIMICA",83.27,21,77,160,"F"
3,"QUIMICA",82.42,23,77,159,"M"
10,"QUIMICA",92.38,21,72,172,"F"
9,"QUIMICA",82.66,20,92,173,"M"
6,"QUIMICA",88.14,23,57,179,"M"
4,"QUIMICA",91.94,21,64,165,"M"
7,"QUIMICA",80.26,24,57,193,"M"
7,"QUIMICA",84.78,20,80,165,"M"
5,"QUIMICA",78.68,18,76,185,"F"
6,"QUIMICA",90.9,19,72,181,"M"
3,"QUIMICA",92,18,80,174,"F"
4,"QUIMICA",91.24,23,64,195,"F"
10,"QUIMICA",86.59,20,57,178,"F"
2,"QUIMICA",95.67,17,73,179,"F"
3,"QUIMICA",94.38,21,73,176,"F"
6,"QUIMICA",87.14,16,56,181,"M"
4,"QUIMICA",86.41,20,80,166,"M"
9,"QUIMICA",85.83,22,46,176,"F"
2,"QUIMICA",95.33,19,72,190,"M"
3,"QUIMICA",95.5,19,70,167,"F"
5,"QUIMICA",86.21,17,77,190,"M"
9,"QUIMICA",82.43,22,74,181,"F"
6,"QUIMICA",80.43,22,88,185,"F"
6,"QUIMICA",92.87,21,84,165,"M"
9,"QUIMICA",84.36,19,65,177,"F"
2,"QUIMICA",94.33,20,66,178,"F"
9,"QUIMICA",84.85,22,71,167,"M"
9,"QUIMICA",79.19,21,72,168,"F"
6,"QUIMICA",81.88,23,79,192,"M"
4,"QUIMICA",86.78,20,72,188,"M"
6,"QUIMICA",89.8,21,76,183,"F"
2,"QUIMICA",91.2,25,78,159,"M"
2,"QUIMICA",93,19,58,180,"M"
5,"QUIMICA",83.28,23,88,161,"F"
8,"QUIMICA",94.24,21,102,157,"M"
2,"QUIMICA",95.5,20,64,182,"F"
3,"QUIMICA",90.42,21,80,156,"F"
8,"QUIMICA",89.79,21,64,185,"M"
4,"QUIMICA",89.65,18,90,184,"F"
4,"QUIMICA",92.33,21,77,172,"F"
8,"QUIMICA",87.33,19,71,173,"F"
13,"QUIMICA",80.69,24,99,178,"M"
6,"QUIMICA",78.78,24,77,175,"M"
5,"QUIMICA",84.59,23,60,192,"M"
4,"QUIMICA",90.94,26,72,185,"F"
8,"QUIMICA",85.45,23,78,174,"M"
3,"QUIMICA",87.42,21,72,184,"M"
9,"QUIMICA",83.34,22,78,160,"M"
2,"QUIMICA",94.67,21,76,170,"F"
9,"QUIMICA",86.19,24,78,165,"F"
4,"QUIMICA",91.06,17,81,173,"F"
4,"QUIMICA",90,20,78,188,"F"
6,"QUIMICA",88.53,20,80,146,"M"
8,"QUIMICA",96.57,21,82,175,"M"
4,"QUIMICA",87.5,21,71,176,"F"
2,"QUIMICA",95,22,71,182,"M"
8,"QUIMICA",90.36,19,83,167,"M"
10,"QUIMICA",84.84,17,78,187,"M"
3,"QUIMICA",88.58,17,77,177,"F"
8,"QUIMICA",95.14,21,75,166,"F"
4,"QUIMICA",84.08,26,64,154,"M"
3,"QUIMICA",86.67,20,81,184,"F"
2,"QUIMICA",89.5,22,69,161,"M"
9,"QUIMICA",81.81,22,80,173,"M"
9,"QUIMICA",82.11,17,84,171,"M"
4,"QUIMICA",91.28,20,61,177,"M"
9,"QUIMICA",81.52,20,63,174,"F"
9,"QUIMICA",80.74,20,83,177,"F"
5,"QUIMICA",87.58,19,48,188,"F"
3,"QUIMICA",87.27,22,76,183,"F"
7,"QUIMICA",84.75,22,69,186,"M"
8,"QUIMICA",91.81,18,92,189,"M"
2,"QUIMICA",89.33,19,82,164,"F"
4,"QUIMICA",86.18,20,82,171,"M"
4,"QUIMICA",86,17,86,168,"M"
3,"QUIMICA",90.67,21,98,169,"F"
9,"QUIMICA",81.49,20,86,149,"F"
3,"QUIMICA",93.75,19,93,170,"M"
7,"QUIMICA",82.13,24,78,168,"M"
2,"QUIMICA",91.29,17,86,183,"M"
6,"QUIMICA",84.37,20,78,158,"F"
6,"QUIMICA",90.5,22,70,167,"M"
10,"QUIMICA",82.16,23,77,169,"M"
13,"QUIMICA",79.34,17,67,173,"M"
4,"QUIMICA",84.15,23,77,179,"F"
3,"QUIMICA",91.25,19,86,189,"M"
7,"QUIMICA",88.06,23,54,163,"M"
2,"QUIMICA",95.67,22,65,168,"M"
2,"QUIMICA",95.17,21,71,168,"F"
8,"QUIMICA",96.24,20,58,194,"M"
6,"QUIMICA",86.2,17,89,192,"M"
2,"QUIMICA",93.5,20,78,169,"F"
4,"QUIMICA",95.39,22,89,186,"M"
3,"QUIMICA",91.92,25,81,184,"F"
6,"QUIMICA",88.93,21,78,169,"F"
4,"QUIMICA",95.89,20,75,177,"F"
4,"QUIMICA",90.33,20,73,183,"M"
10,"QUIMICA",80.41,24,62,174,"M"
8,"QUIMICA",91.52,22,63,159,"F"
2,"QUIMICA",93.17,21,82,193,"M"
11,"QUIMICA",82.67,19,72,179,"M"
3,"QUIMICA",91,24,72,187,"F"
4,"QUIMICA",91.76,22,60,165,"F"
4,"QUIMICA",91.83,19,100,174,"M"
8,"QUIMICA",88.95,23,81,182,"F"
3,"QUIMICA",97.42,21,68,165,"M"
12,"QUIMICA",80.58,22,58,160,"F"
2,"QUIMICA",97.67,17,85,172,"M"
4,"QUIMICA",89,21,88,179,"F"
6,"QUIMICA",88.68,21,61,157,"F"
5,"QUIMICA",86.32,19,77,179,"F"
8,"QUIMICA",89.64,20,100,178,"F"
3,"QUIMICA",89.42,20,71,163,"F"
11,"QUIMICA",84.63,23,58,174,"M"
10,"QUIMICA",80.09,23,67,157,"M"
7,"QUIMICA",83.63,23,99,179,"M"
3,"QUIMICA",93.33,19,88,190,"M"
7,"QUIMICA",85.07,19,72,179,"F"
5,"QUIMICA",86.88,23,73,177,"F"
6,"QUIMICA",87.47,20,87,171,"F"
10,"QUIMICA",83.55,21,82,178,"M"
12,"QUIMICA",83.94,24,69,163,"F"
3,"QUIMICA",90,20,70,178,"M"
3,"QUIMICA",94.42,25,84,172,"M"
2,"QUIMICA",95.83,22,68,162,"F"
10,"QUIMICA",87.6,20,74,179,"M"
6,"QUIMICA",82.83,23,63,180,"F"
11,"QUIMICA",81.61,21,82,165,"F"
6,"QUIMICA",85.4,21,85,196,"M"
4,"QUIMICA",87.63,22,96,160,"F"
10,"QUIMICA",89.42,18,74,169,"F"
8,"QUIMICA",78.33,21,81,193,"F"
10,"QUIMICA",81.79,19,65,169,"F"
7,"QUIMICA",84.56,23,93,181,"F"
10,"QUIMICA",85.24,19,91,180,"M"
2,"QUIMICA",91.83,21,68,168,"F"
5,"QUIMICA",79.76,23,93,183,"F"
2,"QUIMICA",86.67,23,65,184,"F"
2,"QUIMICA",84.4,22,67,151,"M"
2,"QUIMICA",95.67,25,92,186,"M"
9,"QUIMICA",81.33,21,69,186,"F"
6,"QUIMICA",80.68,28,50,167,"F"
9,"QUIMICA",84.32,19,80,174,"M"
6,"QUIMICA",84.17,25,72,174,"M"
5,"QUIMICA",80.48,20,69,190,"M"
2,"QUIMICA",94.83,25,64,171,"M"
4,"QUIMICA",95.28,23,84,167,"M"
10,"QUIMICA",83.02,22,79,179,"M"
3,"QUIMICA",86.5,23,76,158,"F"
2,"QUIMICA",94.67,22,58,168,"M"
7,"QUIMICA",84.67,20,86,172,"F"
6,"QUIMICA",90.2,21,77,184,"M"
10,"QUIMICA",84.96,21,71,171,"F"
9,"QUIMICA",81.91,22,85,183,"F"
7,"QUIMICA",78.59,24,81,169,"F"
6,"QUIMICA",93.48,16,81,175,"F"
8,"QUIMICA",85.62,20,73,174,"F"
6,"QUIMICA",90.83,21,66,168,"M"
6,"QUIMICA",93.17,21,63,176,"M"
9,"QUIMICA",82.38,22,75,166,"M"
5,"QUIMICA",84.08,23,75,167,"M"
6,"QUIMICA",88.03,22,69,177,"M"
3,"QUIMICA",89,23,67,166,"F"
9,"QUIMICA",85.17,22,87,165,"M"
2,"QUIMICA",88.67,21,74,174,"F"
7,"QUIMICA",83.71,20,82,182,"M"
3,"QUIMICA",86.75,19,73,179,"F"
5,"QUIMICA",82.13,22,76,179,"M"
4,"QUIMICA",90.83,21,78,172,"M"
3,"QUIMICA",83.67,19,87,178,"F"
5,"QUIMICA",86.38,24,76,164,"M"
10,"QUIMICA",84.37,20,65,183,"M"
2,"QUIMICA",92.17,22,80,173,"F"
7,"QUIMICA",83,21,70,171,"F"
8,"QUIMICA",91.88,22,82,178,"F"
4,"QUIMICA",90.83,22,70,184,"M"
4,"QUIMICA",84.4,20,54,170,"F"
2,"QUIMICA",93,18,94,172,"M"
8,"QUIMICA",93.57,19,85,177,"F"
10,"QUIMICA",85.82,20,78,200,"M"
10,"QUIMICA",82.05,22,73,179,"F"
4,"QUIMICA",89.67,21,63,178,"F"
8,"QUIMICA",88.41,20,97,185,"F"
6,"QUIMICA",85.07,22,82,180,"M"
4,"QUIMICA",88.28,25,68,170,"M"
4,"QUIMICA",93.39,17,69,166,"F"
4,"QUIMICA",89.68,19,90,180,"F"
4,"QUIMICA",90.83,20,93,146,"F"
6,"QUIMICA",88.8,21,74,178,"M"
10,"QUIMICA",86.96,21,70,166,"F"
3,"QUIMICA",86.83,20,54,187,"M"
8,"QUIMICA",93.62,22,78,161,"F"
2,"QUIMICA",91.17,24,79,154,"F"
6,"QUIMICA",84.32,19,67,174,"M"
2,"QUIMICA",96.67,23,61,178,"F"
9,"QUIMICA",84.24,22,70,181,"M"
3,"QUIMICA",84.42,23,63,166,"F"
6,"QUIMICA",84.17,23,96,178,"M"
9,"QUIMICA",83.75,19,76,138,"F"
8,"QUIMICA",91.08,24,69,166,"F"
4,"QUIMICA",95.67,19,81,169,"M"
4,"QUIMICA",88.44,24,60,173,"F"
8,"QUIMICA",87.62,19,64,170,"M"
6,"QUIMICA",83.04,22,63,167,"F"
2,"QUIMICA",87,16,67,183,"M"
8,"QUIMICA",91.98,20,101,172,"F"
9,"QUIMICA",83.38,23,62,175,"M"
4,"QUIMICA",97,19,84,181,"F"
5,"QUIMICA",82.92,19,63,189,"F"
2,"QUIMICA",95.67,21,75,175,"M"
10,"QUIMICA",87.27,21,64,180,"F"
9,"QUIMICA",87.63,21,61,174,"M"
8,"QUIMICA",96.12,20,72,182,"M"
10,"QUIMICA",80.28,21,95,178,"F"
3,"QUIMICA",86,22,83,173,"M"
3,"QUIMICA",85.73,21,62,169,"F"
4,"QUIMICA",91.22,22,78,146,"F"
6,"QUIMICA",92.33,23,69,174,"M"
8,"QUIMICA",90.45,22,73,174,"M"
5,"QUIMICA",85.16,19,61,185,"M"
2,"QUIMICA",94.67,23,87,177,"M"
3,"QUIMICA",90.17,21,82,168,"F"
6,"QUIMICA",86.53,21,72,188,"F"
10,"QUIMICA",82.88,20,84,183,"M"
6,"QUIMICA",86.38,20,80,198,"M"
6,"QUIMICA",84.9,23,70,184,"M"
13,"QUIMICA",79.77,20,82,188,"M"
2,"QUIMICA",91.17,18,59,193,"F"
10,"QUIMICA",87.88,19,91,172,"M"
3,"QUIMICA",84.88,19,65,187,"F"
9,"QUIMICA",83.29,24,79,172,"F"
5,"QUIMICA",85.95,20,90,171,"F"
7,"QUIMICA",86.19,18,78,190,"F"
9,"QUIMICA",80.93,19,65,174,"M"
2,"QUIMICA",91.17,21,78,187,"M"
2,"QUIMICA",92.83,21,76,173,"F"
7,"QUIMICA",83.22,19,51,178,"M"
4,"QUIMICA",89.39,21,77,179,"M"
2,"QUIMICA",91.17,20,77,166,"F"
3,"QUIMICA",86.58,20,75,160,"M"
2,"QUIMICA",95.33,18,74,174,"F"
8,"QUIMICA",85.24,21,76,190,"M"
12,"QUIMICA",81.66,19,71,179,"M"
8,"QUIMICA",84.33,25,74,186,"M"
2,"QUIMICA",90.5,24,80,144,"M"
4,"QUIMICA",90.72,20,71,161,"F"
8,"QUIMICA",82.86,20,92,172,"F"
5,"QUIMICA",81.79,21,74,172,"F"
6,"QUIMICA",87.33,24,62,168,"M"
2,"QUIMICA",95.33,22,82,177,"F"
2,"QUIMICA",86.67,24,73,172,"M"
6,"QUIMICA",87.42,21,86,174,"M"
7,"QUIMICA",81.59,23,75,160,"M"
2,"QUIMICA",84.2,20,74,171,"M"
4,"QUIMICA",92.39,20,66,170,"F"
9,"QUIMICA",82.91,19,73,166,"M"
4,"QUIMICA",91.22,19,79,153,"F"
8,"QUIMICA",85.35,21,66,183,"M"
4,"QUIMICA",94.17,20,86,177,"M"
4,"QUIMICA",94.67,21,67,179,"F"
10,"QUIMICA",83.7,19,78,182,"F"
7,"QUIMICA",85.55,21,70,176,"F"
8,"QUIMICA",84.88,19,74,169,"F"
8,"QUIMICA",87.36,21,68,178,"F"
9,"QUIMICA",83.74,20,86,166,"F"
6,"QUIMICA",86.07,20,72,169,"M"
3,"QUIMICA",87.5,21,59,177,"M"
7,"QUIMICA",86.41,25,77,165,"M"
3,"QUIMICA",84.33,23,94,178,"M"
5,"QUIMICA",81.77,20,86,140,"F"
3,"QUIMICA",82.4,19,74,178,"F"
9,"QUIMICA",88.58,21,74,177,"M"
4,"QUIMICA",93.72,19,66,187,"M"
4,"QUIMICA",86.75,21,71,174,"F"
3,"QUIMICA",92.5,22,77,171,"F"
6,"QUIMICA",85.64,25,60,172,"M"
5,"QUIMICA",86.36,17,83,194,"M"
5,"QUIMICA",81.95,22,96,162,"M"
3,"QUIMICA",88.42,22,63,183,"M"
2,"QUIMICA",92.67,23,80,161,"M"
9,"QUIMICA",82.38,22,84,173,"M"
9,"QUIMICA",81.81,20,70,172,"M"
2,"QUIMICA",94.5,16,95,191,"F"
8,"QUIMICA",93.19,21,79,180,"M"
5,"QUIMICA",82.13,20,75,168,"F"
2,"QUIMICA",95.83,21,59,185,"M"
6,"QUIMICA",93.57,21,71,179,"F"
3,"QUIMICA",87.92,21,70,167,"F"
4,"QUIMICA",93.11,20,89,196,"M"
3,"QUIMICA",89.75,20,73,165,"M"
3,"QUIMICA",92.33,21,66,161,"M"
11,"QUIMICA",83.57,23,87,164,"M"
10,"QUIMICA",79.55,23,86,162,"F"
6,"QUIMICA",90.13,21,77,165,"M"
2,"QUIMICA",83.2,24,82,170,"M"
6,"QUIMICA",86.27,18,75,180,"F"
2,"QUIMICA",93,19,66,156,"M"
4,"QUIMICA",90,20,80,185,"M"
6,"QUIMICA",90.17,26,82,178,"M"
4,"QUIMICA",90.17,24,73,172,"F"
7,"QUIMICA",81,23,57,180,"M"
3,"QUIMICA",87.43,23,62,186,"M"
2,"QUIMICA",88.17,18,63,178,"M"
2,"QUIMICA",96.17,21,98,184,"F"
2,"QUIMICA",90.67,17,74,170,"F"
4,"QUIMICA",89.26,19,93,179,"M"
6,"QUIMICA",82.79,20,86,171,"M"
8,"QUIMICA",86.9,20,76,177,"F"
