palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,Region,Area
44,15.1,23.8,78.9,14.9,31.9,17.5,0,Umbria,North
43.1,13.2,26,78.1,14.9,31.9,32,0,Umbria,North
44.4,13.2,30.5,78.2,14.9,69.4,7.8,0,Umbria,North
42.8,8.3,26,78.4,14.9,52.8,36.9,0,Umbria,North
65.5,67.5,20.2,46.3,43.7,31.9,42.7,23.2,South Apulia,South
67,71.3,32.7,29.8,62.2,26.4,46.6,21.4,South Apulia,South
71.1,69.4,28.7,39.3,49.6,26.4,44.7,30.4,South Apulia,South
68.8,61.5,25.1,38.2,53.9,37.5,63.1,42.9,South Apulia,South
71.3,64.2,29.1,25.7,73.9,44.4,68,53.6,South Apulia,South
71.1,81.9,57.4,19.7,76.8,41.7,56.3,39.3,South Apulia,South
79.9,73.2,47.1,16.4,77.5,55.6,58.3,50,South Apulia,South
62.8,68.7,46.6,34.9,60.6,52.8,56.3,35.7,South Apulia,South
60.1,66.8,22.9,39.4,59.2,50,61.2,46.4,South Apulia,South
58.9,66.4,22.4,26.6,83.7,56.9,66,46.4,South Apulia,South
75.8,63.4,13.9,21.2,84.1,47.2,56.3,39.3,South Apulia,South
70.1,64.9,17.5,26.6,76.8,50,56.3,26.8,South Apulia,South
71.4,67.2,25.1,27.3,73.8,38.9,56.3,28.6,South Apulia,South
67.5,72.1,22.9,30.9,70.5,45.8,46.6,25,South Apulia,South
78,59.2,8.1,29.4,68.1,48.6,50.5,21.4,South Apulia,South
63.4,54.7,23.8,29,83.2,30.6,46.6,26.8,South Apulia,South
62.3,57,8.1,28.5,84.5,54.2,65,46.4,South Apulia,South
60.1,55.8,13.9,35.1,76.5,37.5,53.4,17.9,South Apulia,South
68.4,59.6,16.1,35,67.6,40.3,40.8,21.4,South Apulia,South
69.7,56.2,31.8,37.3,58.1,30.6,39.8,37.5,South Apulia,South
63.5,60,20.6,26.7,82.3,47.2,66,33.9,South Apulia,South
60.4,53.6,17.9,33.2,79.7,33.3,47.6,30.4,South Apulia,South
66.8,55.8,19.7,27.9,80.7,48.6,54.4,39.3,South Apulia,South
69.1,63,40.4,29.1,63.9,58.3,64.1,50,South Apulia,South
67.5,62.3,13,33.2,66.7,51.4,41.7,39.3,South Apulia,South
61.6,56.6,10.3,34.4,77.8,40.3,37.9,25,South Apulia,South
65.4,54.7,7.6,36.6,68.8,51.4,44.7,23.2,South Apulia,South
67.5,58.9,14.3,30.2,78.1,38.9,44.7,23.2,South Apulia,South
61.8,59.2,7.6,33.4,79.5,36.1,46.6,16.1,South Apulia,South
65.9,61.9,15.2,30.1,77.8,47.2,46.6,30.4,South Apulia,South
59.8,51.3,13.5,33.2,80.5,52.8,48.5,33.9,South Apulia,South
74.6,60.4,20.6,27.6,69.9,52.8,66,35.7,South Apulia,South
62.2,62.3,13.9,35.7,73.8,33.3,29.1,17.9,South Apulia,South
66.7,55.8,10.8,28.5,81.4,36.1,61.2,44.6,South Apulia,South
61.3,64.9,19.7,29.4,78.8,54.2,71.8,41.1,South Apulia,South
67.4,58.9,29.6,33.6,59.6,54.2,50.5,42.9,South Apulia,South
53.1,51.3,1.8,40.7,76.9,34.7,47.6,21.4,South Apulia,South
65.6,52.5,13.9,29.2,81.1,63.9,52.4,25,South Apulia,South
64.4,64.5,34.5,45.5,37.1,44.4,52.4,32.1,South Apulia,South
61.4,53.2,24.7,33.3,76.4,54.2,44.7,21.4,South Apulia,South
54.8,62.6,27.4,31.3,76.5,62.5,69.9,42.9,South Apulia,South
52.5,57.7,17,37.9,75.1,56.9,60.2,25,South Apulia,South
61.1,52.1,11.2,33.4,79.5,45.8,56.3,25,South Apulia,South
56.7,55.8,2.7,38.1,75.7,40.3,56.3,21.4,South Apulia,South
64.4,54.3,20.2,31.9,75.5,47.2,56.3,26.8,South Apulia,South
54.1,57.4,8.5,37.3,78.9,45.8,46.6,25,South Apulia,South
62.9,61.9,11.2,34.6,73,45.8,38.8,41.1,South Apulia,South
58.1,57.4,6.3,39.3,72.3,27.8,48.5,17.9,South Apulia,South
52.5,60.4,22,39.3,72.9,47.2,45.6,23.2,South Apulia,South
57.1,62.3,13,35.8,75,40.3,55.3,64.3,South Apulia,South
58.9,63,25.6,31.5,72.7,56.9,69.9,37.5,South Apulia,South
65.9,61.9,8.1,34.8,69.1,45.8,62.1,14.3,South Apulia,South
64.5,52.8,26.9,38.1,62.4,43.1,51.5,32.1,South Apulia,South
79,70.2,13.5,23.8,74,38.9,52.4,39.3,South Apulia,South
72.4,69.1,18.4,34.7,58,40.3,48.5,26.8,South Apulia,South
66.5,71.3,33.6,31.4,64.7,54.2,61.2,57.1,South Apulia,South
65.4,62.6,47.1,40.1,47.5,52.8,56.3,60.7,South Apulia,South
69.5,64.5,46.6,20.5,81.2,70.8,60.2,48.2,South Apulia,South
62.3,57,31.4,33.5,68.4,54.2,75.7,44.6,South Apulia,South
62.6,58.9,34.5,29.5,73.4,62.5,71.8,71.4,South Apulia,South
71,69.8,24.7,25.7,75.9,40.3,56.3,44.6,South Apulia,South
65.1,60,30.9,32.8,68.4,47.2,60.2,37.5,South Apulia,South
69.1,63,24.2,37.9,56,44.4,50.5,26.8,South Apulia,South
71.4,70.6,23.8,29.4,70.2,47.2,42.7,19.6,South Apulia,South
72.9,73.2,32.7,23.7,73.6,41.7,55.3,44.6,South Apulia,South
64.5,64.2,31.8,31.1,69.2,75,68.9,25,South Apulia,South
67.7,69.8,21.5,29.2,72.5,43.1,46.6,35.7,South Apulia,South
64,53.6,34.1,35.8,64.6,55.6,51.5,41.1,South Apulia,South
71.3,72.5,25.1,24.7,77.4,47.2,47.6,46.4,South Apulia,South
63.2,73.2,29.1,30.7,71.4,55.6,58.3,37.5,South Apulia,South
70.3,69.8,29.1,32.2,61.2,52.8,64.1,33.9,South Apulia,South
70.3,75.1,29.1,20.6,82.7,58.3,65,44.6,South Apulia,South
75.3,57.7,40.4,20.1,80,72.2,55.3,50,South Apulia,South
74.8,69.4,30.9,25.4,71.3,48.6,47.6,48.2,South Apulia,South
73.6,72.1,43,24,71.9,44.4,53.4,46.4,South Apulia,South
75.7,71.3,38.1,16.3,84.2,55.6,50.5,46.4,South Apulia,South
81.7,75.5,22.9,14.3,84.3,59.7,65,44.6,South Apulia,South
80,65.7,41.7,21.4,72.4,47.2,48.5,46.4,South Apulia,South
73.5,78.1,14.3,23.8,77.5,56.9,52.4,25,South Apulia,South
63.7,43,42.6,34.3,69.4,50,52.4,35.7,South Apulia,South
73.6,59.2,44.8,15.6,91.2,52.8,60.2,39.3,South Apulia,South
74.4,60.8,16.6,26,71.6,55.6,60.2,42.9,South Apulia,South
66.2,48.7,27.8,31.8,73.4,43.1,56.3,39.3,South Apulia,South
67.5,53.2,39.9,28,74.5,55.6,59.2,50,South Apulia,South
76.5,65.3,55.6,18.8,80.3,44.4,47.6,25,South Apulia,South
75.2,61.9,39.5,20.8,80.1,54.2,61.2,21.4,South Apulia,South
62.6,47.2,24.7,34.1,75.5,36.1,55.3,17.9,South Apulia,South
70.9,60.8,17.9,28.9,73.1,59.7,46.6,41.1,South Apulia,South
70,59.2,17.5,38.2,55.8,47.2,46.6,48.2,South Apulia,South
71.4,66.4,15.2,30.2,71.6,40.3,42.7,19.6,South Apulia,South
82.6,67.5,27.4,22,71.4,50,54.4,25,South Apulia,South
61.7,54.3,36.8,34.1,71,50,49.5,30.4,South Apulia,South
65,54.7,35.4,34.7,60.8,52.8,63.1,55.4,South Apulia,South
79.8,72.8,43.5,16.2,84.4,31.9,39.8,32.1,South Apulia,South
80.4,79.6,47.1,14,82.1,54.2,59.2,25,South Apulia,South
58,56.6,37.2,38.9,65.1,41.7,47.6,33.9,South Apulia,South
62,68.7,38.6,33.3,68.1,48.6,46.6,39.3,South Apulia,South
60.8,54.3,45.3,33.6,72.6,38.9,48.5,19.6,South Apulia,South
75.6,64.9,28.3,25.7,70.8,45.8,52.4,53.6,South Apulia,South
77,64.9,22.9,25.5,73.3,47.2,44.7,35.7,South Apulia,South
77.5,61.5,20.2,24.4,73.7,52.8,60.2,39.3,South Apulia,South
69.2,60.8,14.8,33.6,64.9,63.9,49.5,51.8,South Apulia,South
67.3,59.2,37.2,36.3,59.3,45.8,41.7,42.9,South Apulia,South
58.8,72.5,23.8,40.4,63.6,48.6,48.5,35.7,South Apulia,South
63.4,53.6,36.8,39.4,56.2,50,54.4,51.8,South Apulia,South
53,76.6,40.4,42.3,54.2,48.6,50.5,41.1,South Apulia,South
68.7,53.6,29.1,34,62.8,52.8,56.3,62.5,South Apulia,South
81,66,38.6,31.1,52.6,47.2,46.6,37.5,South Apulia,South
65.8,57.7,33.6,32.5,70.2,37.5,54.4,26.8,South Apulia,South
72.2,62.6,29.6,24.3,76.5,38.9,55.3,33.9,South Apulia,South
61.2,57,32.3,32.5,69.9,44.4,61.2,51.8,South Apulia,South
74.4,83.4,41.7,14.5,86.9,43.1,47.6,33.9,South Apulia,South
65.5,68.7,26.5,23.5,83.4,41.7,55.3,57.1,South Apulia,South
64.8,58.5,45.3,32.7,64.8,37.5,59.2,37.5,South Apulia,South
69.2,63.4,28.7,26.9,74.4,36.1,57.3,33.9,South Apulia,South
81.5,92.5,35.9,8.9,90.2,40.3,41.7,32.1,South Apulia,South
78.7,83.8,37.7,12.8,85.1,41.7,54.4,42.9,South Apulia,South
78,87.2,44.4,9.7,92.2,37.5,49.5,30.4,South Apulia,South
70.1,62.3,35.9,26.3,72.6,41.7,62.1,35.7,South Apulia,South
78.1,75.5,40.4,22.6,68.2,38.9,56.3,35.7,South Apulia,South
64.8,57,33.2,29.8,73.4,38.9,56.3,37.5,South Apulia,South
77.5,87.2,38.6,6.8,99.2,34.7,46.6,32.1,South Apulia,South
73.2,59.2,46.2,16.4,88.6,34.7,55.3,41.1,South Apulia,South
65.5,53.2,27.8,26.1,84.6,31.9,44.7,30.4,South Apulia,South
64.9,54,36.3,26,80.6,41.7,59.2,41.1,South Apulia,South
74.9,62.3,41.3,21.4,77.3,44.4,50.5,37.5,South Apulia,South
61.9,50.6,33.2,37.1,63.5,43.1,57.3,39.3,South Apulia,South
65.7,55.1,29.1,33,67.5,40.3,58.3,37.5,South Apulia,South
57.2,51.3,23.8,48.3,48.8,36.1,50.5,37.5,South Apulia,South
49.6,48.7,30.5,44.1,64.7,40.3,48.5,46.4,South Apulia,South
65.4,57.4,32.3,31.2,64.9,38.9,45.6,37.5,South Apulia,South
69.3,63.8,26.9,28.3,72.5,37.5,40.8,30.4,South Apulia,South
60.3,50.6,32.3,36.8,64.2,38.9,53.4,53.6,South Apulia,South
53.7,46,35.9,45.9,54.5,41.7,51.5,37.5,South Apulia,South
78.3,80,23.8,30.4,52.8,43.1,64.1,57.1,South Apulia,South
77.2,76.6,24.7,35,43,47.2,61.2,60.7,South Apulia,South
74.2,60,34.1,27.3,66,37.5,65,51.8,South Apulia,South
73.7,63.4,29.6,22.5,76.1,41.7,62.1,48.2,South Apulia,South
69.1,52.5,23.3,32.7,62.8,44.4,69.9,53.6,South Apulia,South
72.5,58.1,17.9,34.4,58.2,40.3,60.2,44.6,South Apulia,South
74.8,69.8,25.1,32.2,54.6,38.9,58.3,51.8,South Apulia,South
78.5,71.3,16.1,29.1,58.3,41.7,57.3,58.9,South Apulia,South
71.9,66.8,24.7,33,55.4,47.2,66,60.7,South Apulia,South
65.1,61.1,21.1,41.3,49.3,44.4,61.2,55.4,South Apulia,South
65.7,51.7,37.7,40,49,45.8,70.9,48.2,South Apulia,South
73.8,68.3,25.1,30.2,60.9,41.7,57.3,42.9,South Apulia,South
75.6,75.5,20.2,29.3,61.9,36.1,51.5,37.5,South Apulia,South
56.8,44.5,23.8,52.9,37.1,43.1,68,55.4,South Apulia,South
65.6,54.3,38.6,34,61.9,40.3,63.1,41.1,South Apulia,South
65,52.8,41.3,31.2,68.1,41.7,64.1,42.9,South Apulia,South
70,50.6,23.3,41.8,44.9,37.5,71.8,50,South Apulia,South
75,69.8,21.1,28.9,62.8,38.9,58.3,41.1,South Apulia,South
64.4,52.1,30,29.8,75,43.1,62.1,39.3,South Apulia,South
73.6,71.3,16.6,38.2,45.2,43.1,59.2,44.6,South Apulia,South
61.6,46.4,26.9,41.2,55.6,44.4,65,41.1,South Apulia,South
63.4,49.8,26,38.3,60.9,43.1,57.3,32.1,South Apulia,South
71.7,58.1,24.7,27.3,72,44.4,53.4,44.6,South Apulia,South
66.7,57.4,32.7,27.6,75.5,40.3,51.5,44.6,South Apulia,South
72,61.9,27.8,29.5,65.9,43.1,52.4,44.6,South Apulia,South
76.6,76.6,27.8,20.1,77.3,37.5,49.5,37.5,South Apulia,South
67.4,60,23.8,35.2,60.5,40.3,53.4,42.9,South Apulia,South
67.3,59.6,34.1,30.7,67.8,41.7,49.5,39.3,South Apulia,South
70.5,59.6,25.6,25.7,74.6,43.1,59.2,55.4,South Apulia,South
71.4,68.7,24.2,20.7,91.9,44.4,56.3,51.8,South Apulia,South
52.5,46.4,24.7,33.7,80.3,48.6,60.2,58.9,South Apulia,South
66.6,62.3,24.7,28.2,73.9,43.1,57.3,50,South Apulia,South
80.7,69.1,32.7,18.1,77.8,37.5,53.4,39.3,South Apulia,South
73.2,64.2,16.6,22.3,80.3,38.9,58.3,41.1,South Apulia,South
67.3,55.5,12.1,22.4,90,43.1,60.2,44.6,South Apulia,South
75.6,62.6,20.2,22.9,78.1,33.3,53.4,37.5,South Apulia,South
67.4,55.1,20.6,34.6,63.3,43.1,55.3,51.8,South Apulia,South
71.9,54.3,28.3,26.6,72.9,45.8,56.3,51.8,South Apulia,South
80.4,55.5,65.5,20.1,65.7,59.7,88.3,50,South Apulia,South
63.8,58.9,45.3,32.6,56.9,50,78.6,66.1,South Apulia,South
76.4,54.7,83,17.8,66.4,58.3,89.3,60.7,South Apulia,South
59.8,52.1,19.7,38.2,65.3,48.6,56.3,46.4,South Apulia,South
58,52.8,21.1,39.8,68.5,40.3,38.8,28.6,South Apulia,South
67.5,54,28.3,40.8,49.9,50,65,53.6,South Apulia,South
66,59.2,10.3,31.5,74.8,36.1,70.9,30.4,South Apulia,South
51.3,46.8,14.8,53.4,49.3,37.5,52.4,35.7,South Apulia,South
99.7,81.5,1.8,6.5,84.6,59.7,58.3,37.5,South Apulia,South
89.8,90.6,6.3,15.5,74.8,37.5,58.3,44.6,South Apulia,South
82.9,59.2,18.4,20.9,69.4,69.4,82.5,57.1,South Apulia,South
78.9,58.5,19.3,23.9,74.2,45.8,62.1,37.5,South Apulia,South
70.1,58.1,8.5,33.7,63.8,47.2,68,25,South Apulia,South
60.7,53.2,17.5,38,64.9,41.7,56.3,51.8,South Apulia,South
72,60.4,0,33.4,68.6,34.7,46.6,32.1,South Apulia,South
98.8,84.2,46.2,0,88.3,45.8,66,46.4,South Apulia,South
100.6,77.7,1.8,5.5,84.8,56.9,77.7,37.5,South Apulia,South
69.4,64.9,16.6,32,60.1,69.4,66,76.8,South Apulia,South
80.6,72.1,43.5,18,74.1,43.1,75.7,44.6,South Apulia,South
58.6,53.6,18.4,39.8,68.5,40.3,36.9,28.6,South Apulia,South
86,71.3,25.1,20.5,71.9,25,48.5,32.1,South Apulia,South
87.1,85.3,19.3,19.2,68.6,34.7,64.1,33.9,South Apulia,South
89.9,100,20.2,14.6,71.5,36.1,54.4,44.6,South Apulia,South
101.6,98.1,37.7,3.2,75,29.2,57.3,44.6,South Apulia,South
95,92.5,11.2,12.7,72.7,38.9,55.3,55.4,South Apulia,South
71.9,70.9,10.8,31.9,62.1,50,73.8,44.6,South Apulia,South
96.3,83.4,9.9,9.4,74,68.1,97.1,62.5,South Apulia,South
96.2,96.2,36.8,9.4,73.2,40.3,55.3,23.2,South Apulia,South
91.4,89.4,28.3,12.8,73.5,51.4,49.5,48.2,South Apulia,South
78.8,87.5,30,15.2,80.4,47.2,68.9,53.6,South Apulia,South
74,78.1,18.8,17.9,84.7,47.2,68,64.3,South Apulia,South
95.1,96.2,8.1,6.6,84.3,40.3,58.3,46.4,South Apulia,South
75.8,56.2,14.8,28.9,69.1,65.3,54.4,26.8,South Apulia,South
